"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116"
"95",0.691108584432451,0.693381048111693,0.691108584432451,0.691108584432451,0.691108584432451,0.691108584432451,0.691108584432451,0.734970206496718,0.783739021277655,0.693381048111693,0.691108584432451,0.691108584432451,0.706433042132349,0.706433042132349,0.706433042132349,0.706433042132349,0.706433042132349,0.706433042132349,0.698289900805391,0.706433042132349,0.73545010713458,0.706433042132349,0.71789450740909,0.73545010713458,0.766666901753191,0.776260303213462,0.690309986658826,0.690309986658826,0.690309986658826,0.690309986658826,0.690309986658826,0.690309986658826,0.690309986658826,0.690309986658826,0.839206733780415,0.839206733780415,0.839206733780415,0.839206733780415,0.839206733780415,0.839206733780415,0.700033906441034,0.700033906441034,0.700033906441034,0.700033906441034,0.700033906441034,0.7540593228116,0.7540593228116,0.7540593228116,0.7540593228116,0.779843283843265,0.779843283843265,0.779843283843265,0.779843283843265,0.779843283843265,0.779843283843265,0.683593438827024,0.683593438827024,0.683593438827024,0.683593438827024,0.683593438827024,0.717519473343108,0.717519473343108,0.717519473343108,0.717519473343108,0.717519473343108,0.683691922719098,0.683691922719098,0.683691922719098,0.683691922719098,0.749559846278182,0.749559846278182,0.749559846278182,0.81485707246284,0.81485707246284,0.81485707246284,0.61828554545512,0.61828554545512,0.61828554545512,0.61828554545512,0.769336315881775,0.769336315881775,0.769336315881775,0.769336315881775,0.769336315881775,0.769336315881775,0.840294783734445,0.851093943100429,0.851093943100429,0.851093943100429,0.831374659246793,0.831374659246793,0.831374659246793,1,1,1,0.787659724668945,0.787659724668945,0.787659724668945,0.838973443808406,0.838973443808406,0.838973443808406,0.838973443808406,0.838973443808406,0.838973443808406,0.727659051841502,1,1,1,0.602161084147245,0.602161084147245,0.602161084147245,0.602161084147245,0.818392663637763,0.818392663637763,0.818392663637763,0.818392663637763
"96",0.694353885985534,0.717318939110452,0.694353885985534,0.694353885985534,0.694353885985534,0.694353885985534,0.694353885985534,0.731495306964277,0.763777765098734,0.717318939110452,0.694353885985534,0.694353885985534,0.768109144834278,0.768109144834278,0.768109144834278,0.768109144834278,0.768109144834278,0.768109144834278,0.6768382894526,0.768109144834278,0.759526271531484,0.768109144834278,0.762115180964657,0.759526271531484,0.826504363337701,0.797632456296325,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.83025468276443,0.83025468276443,0.83025468276443,0.83025468276443,0.83025468276443,0.83025468276443,0.813830460687618,0.813830460687618,0.813830460687618,0.813830460687618,0.813830460687618,0.769624560014704,0.769624560014704,0.769624560014704,0.769624560014704,0.775420387930157,0.775420387930157,0.775420387930157,0.775420387930157,0.775420387930157,0.775420387930157,0.726617640831508,0.726617640831508,0.726617640831508,0.726617640831508,0.726617640831508,0.725214269605025,0.725214269605025,0.725214269605025,0.725214269605025,0.725214269605025,0.692296775734957,0.692296775734957,0.692296775734957,0.692296775734957,0.75982676268961,0.75982676268961,0.75982676268961,0.800966691868634,0.800966691868634,0.800966691868634,0.695326236306191,0.695326236306191,0.695326236306191,0.695326236306191,0.842404980261701,0.842404980261701,0.842404980261701,0.842404980261701,0.842404980261701,0.842404980261701,0.860509055053397,0.89607499711083,0.89607499711083,0.89607499711083,0.861113778520818,0.861113778520818,0.861113778520818,0.787659724668945,0.787659724668945,0.787659724668945,1,1,1,0.89740131732806,0.89740131732806,0.89740131732806,0.89740131732806,0.89740131732806,0.89740131732806,0.815637348591118,0.787659724668945,0.787659724668945,0.787659724668945,0.780053374455035,0.780053374455035,0.780053374455035,0.780053374455035,0.895200275438713,0.895200275438713,0.895200275438713,0.895200275438713
"97",0.694353885985534,0.717318939110452,0.694353885985534,0.694353885985534,0.694353885985534,0.694353885985534,0.694353885985534,0.731495306964277,0.763777765098734,0.717318939110452,0.694353885985534,0.694353885985534,0.768109144834278,0.768109144834278,0.768109144834278,0.768109144834278,0.768109144834278,0.768109144834278,0.6768382894526,0.768109144834278,0.759526271531484,0.768109144834278,0.762115180964657,0.759526271531484,0.826504363337701,0.797632456296325,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.83025468276443,0.83025468276443,0.83025468276443,0.83025468276443,0.83025468276443,0.83025468276443,0.813830460687618,0.813830460687618,0.813830460687618,0.813830460687618,0.813830460687618,0.769624560014704,0.769624560014704,0.769624560014704,0.769624560014704,0.775420387930157,0.775420387930157,0.775420387930157,0.775420387930157,0.775420387930157,0.775420387930157,0.726617640831508,0.726617640831508,0.726617640831508,0.726617640831508,0.726617640831508,0.725214269605025,0.725214269605025,0.725214269605025,0.725214269605025,0.725214269605025,0.692296775734957,0.692296775734957,0.692296775734957,0.692296775734957,0.75982676268961,0.75982676268961,0.75982676268961,0.800966691868634,0.800966691868634,0.800966691868634,0.695326236306191,0.695326236306191,0.695326236306191,0.695326236306191,0.842404980261701,0.842404980261701,0.842404980261701,0.842404980261701,0.842404980261701,0.842404980261701,0.860509055053397,0.89607499711083,0.89607499711083,0.89607499711083,0.861113778520818,0.861113778520818,0.861113778520818,0.787659724668945,0.787659724668945,0.787659724668945,1,1,1,0.89740131732806,0.89740131732806,0.89740131732806,0.89740131732806,0.89740131732806,0.89740131732806,0.815637348591118,0.787659724668945,0.787659724668945,0.787659724668945,0.780053374455035,0.780053374455035,0.780053374455035,0.780053374455035,0.895200275438713,0.895200275438713,0.895200275438713,0.895200275438713
"98",0.694353885985534,0.717318939110452,0.694353885985534,0.694353885985534,0.694353885985534,0.694353885985534,0.694353885985534,0.731495306964277,0.763777765098734,0.717318939110452,0.694353885985534,0.694353885985534,0.768109144834278,0.768109144834278,0.768109144834278,0.768109144834278,0.768109144834278,0.768109144834278,0.6768382894526,0.768109144834278,0.759526271531484,0.768109144834278,0.762115180964657,0.759526271531484,0.826504363337701,0.797632456296325,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.709354446005627,0.83025468276443,0.83025468276443,0.83025468276443,0.83025468276443,0.83025468276443,0.83025468276443,0.813830460687618,0.813830460687618,0.813830460687618,0.813830460687618,0.813830460687618,0.769624560014704,0.769624560014704,0.769624560014704,0.769624560014704,0.775420387930157,0.775420387930157,0.775420387930157,0.775420387930157,0.775420387930157,0.775420387930157,0.726617640831508,0.726617640831508,0.726617640831508,0.726617640831508,0.726617640831508,0.725214269605025,0.725214269605025,0.725214269605025,0.725214269605025,0.725214269605025,0.692296775734957,0.692296775734957,0.692296775734957,0.692296775734957,0.75982676268961,0.75982676268961,0.75982676268961,0.800966691868634,0.800966691868634,0.800966691868634,0.695326236306191,0.695326236306191,0.695326236306191,0.695326236306191,0.842404980261701,0.842404980261701,0.842404980261701,0.842404980261701,0.842404980261701,0.842404980261701,0.860509055053397,0.89607499711083,0.89607499711083,0.89607499711083,0.861113778520818,0.861113778520818,0.861113778520818,0.787659724668945,0.787659724668945,0.787659724668945,1,1,1,0.89740131732806,0.89740131732806,0.89740131732806,0.89740131732806,0.89740131732806,0.89740131732806,0.815637348591118,0.787659724668945,0.787659724668945,0.787659724668945,0.780053374455035,0.780053374455035,0.780053374455035,0.780053374455035,0.895200275438713,0.895200275438713,0.895200275438713,0.895200275438713
"99",0.707703547738164,0.706758397743809,0.707703547738164,0.707703547738164,0.707703547738164,0.707703547738164,0.707703547738164,0.727403469272606,0.759753385784624,0.706758397743809,0.707703547738164,0.707703547738164,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.696109562118221,0.74699471297863,0.757866584921775,0.74699471297863,0.722677177634174,0.757866584921775,0.7935472089705,0.781661120264511,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.789914083186778,0.789914083186778,0.789914083186778,0.789914083186778,0.789914083186778,0.752205493443685,0.752205493443685,0.752205493443685,0.752205493443685,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.659855616810586,0.659855616810586,0.659855616810586,0.659855616810586,0.659855616810586,0.686360503631913,0.686360503631913,0.686360503631913,0.686360503631913,0.686360503631913,0.665027019663927,0.665027019663927,0.665027019663927,0.665027019663927,0.756120943903502,0.756120943903502,0.756120943903502,0.795995796252752,0.795995796252752,0.795995796252752,0.636278479081288,0.636278479081288,0.636278479081288,0.636278479081288,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.799490396487346,0.915401462702823,0.915401462702823,0.915401462702823,0.90451878237293,0.90451878237293,0.90451878237293,0.838973443808406,0.838973443808406,0.838973443808406,0.89740131732806,0.89740131732806,0.89740131732806,1,1,1,1,1,1,0.769510623976772,0.838973443808406,0.838973443808406,0.838973443808406,0.737745147131493,0.737745147131493,0.737745147131493,0.737745147131493,0.94756903511693,0.94756903511693,0.94756903511693,0.94756903511693
"100",0.707703547738164,0.706758397743809,0.707703547738164,0.707703547738164,0.707703547738164,0.707703547738164,0.707703547738164,0.727403469272606,0.759753385784624,0.706758397743809,0.707703547738164,0.707703547738164,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.696109562118221,0.74699471297863,0.757866584921775,0.74699471297863,0.722677177634174,0.757866584921775,0.7935472089705,0.781661120264511,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.789914083186778,0.789914083186778,0.789914083186778,0.789914083186778,0.789914083186778,0.752205493443685,0.752205493443685,0.752205493443685,0.752205493443685,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.659855616810586,0.659855616810586,0.659855616810586,0.659855616810586,0.659855616810586,0.686360503631913,0.686360503631913,0.686360503631913,0.686360503631913,0.686360503631913,0.665027019663927,0.665027019663927,0.665027019663927,0.665027019663927,0.756120943903502,0.756120943903502,0.756120943903502,0.795995796252752,0.795995796252752,0.795995796252752,0.636278479081288,0.636278479081288,0.636278479081288,0.636278479081288,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.799490396487346,0.915401462702823,0.915401462702823,0.915401462702823,0.90451878237293,0.90451878237293,0.90451878237293,0.838973443808406,0.838973443808406,0.838973443808406,0.89740131732806,0.89740131732806,0.89740131732806,1,1,1,1,1,1,0.769510623976772,0.838973443808406,0.838973443808406,0.838973443808406,0.737745147131493,0.737745147131493,0.737745147131493,0.737745147131493,0.94756903511693,0.94756903511693,0.94756903511693,0.94756903511693
"101",0.707703547738164,0.706758397743809,0.707703547738164,0.707703547738164,0.707703547738164,0.707703547738164,0.707703547738164,0.727403469272606,0.759753385784624,0.706758397743809,0.707703547738164,0.707703547738164,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.696109562118221,0.74699471297863,0.757866584921775,0.74699471297863,0.722677177634174,0.757866584921775,0.7935472089705,0.781661120264511,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.789914083186778,0.789914083186778,0.789914083186778,0.789914083186778,0.789914083186778,0.752205493443685,0.752205493443685,0.752205493443685,0.752205493443685,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.659855616810586,0.659855616810586,0.659855616810586,0.659855616810586,0.659855616810586,0.686360503631913,0.686360503631913,0.686360503631913,0.686360503631913,0.686360503631913,0.665027019663927,0.665027019663927,0.665027019663927,0.665027019663927,0.756120943903502,0.756120943903502,0.756120943903502,0.795995796252752,0.795995796252752,0.795995796252752,0.636278479081288,0.636278479081288,0.636278479081288,0.636278479081288,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.799490396487346,0.915401462702823,0.915401462702823,0.915401462702823,0.90451878237293,0.90451878237293,0.90451878237293,0.838973443808406,0.838973443808406,0.838973443808406,0.89740131732806,0.89740131732806,0.89740131732806,1,1,1,1,1,1,0.769510623976772,0.838973443808406,0.838973443808406,0.838973443808406,0.737745147131493,0.737745147131493,0.737745147131493,0.737745147131493,0.94756903511693,0.94756903511693,0.94756903511693,0.94756903511693
"102",0.707703547738164,0.706758397743809,0.707703547738164,0.707703547738164,0.707703547738164,0.707703547738164,0.707703547738164,0.727403469272606,0.759753385784624,0.706758397743809,0.707703547738164,0.707703547738164,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.696109562118221,0.74699471297863,0.757866584921775,0.74699471297863,0.722677177634174,0.757866584921775,0.7935472089705,0.781661120264511,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.789914083186778,0.789914083186778,0.789914083186778,0.789914083186778,0.789914083186778,0.752205493443685,0.752205493443685,0.752205493443685,0.752205493443685,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.659855616810586,0.659855616810586,0.659855616810586,0.659855616810586,0.659855616810586,0.686360503631913,0.686360503631913,0.686360503631913,0.686360503631913,0.686360503631913,0.665027019663927,0.665027019663927,0.665027019663927,0.665027019663927,0.756120943903502,0.756120943903502,0.756120943903502,0.795995796252752,0.795995796252752,0.795995796252752,0.636278479081288,0.636278479081288,0.636278479081288,0.636278479081288,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.799490396487346,0.915401462702823,0.915401462702823,0.915401462702823,0.90451878237293,0.90451878237293,0.90451878237293,0.838973443808406,0.838973443808406,0.838973443808406,0.89740131732806,0.89740131732806,0.89740131732806,1,1,1,1,1,1,0.769510623976772,0.838973443808406,0.838973443808406,0.838973443808406,0.737745147131493,0.737745147131493,0.737745147131493,0.737745147131493,0.94756903511693,0.94756903511693,0.94756903511693,0.94756903511693
"103",0.707703547738164,0.706758397743809,0.707703547738164,0.707703547738164,0.707703547738164,0.707703547738164,0.707703547738164,0.727403469272606,0.759753385784624,0.706758397743809,0.707703547738164,0.707703547738164,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.696109562118221,0.74699471297863,0.757866584921775,0.74699471297863,0.722677177634174,0.757866584921775,0.7935472089705,0.781661120264511,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.789914083186778,0.789914083186778,0.789914083186778,0.789914083186778,0.789914083186778,0.752205493443685,0.752205493443685,0.752205493443685,0.752205493443685,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.659855616810586,0.659855616810586,0.659855616810586,0.659855616810586,0.659855616810586,0.686360503631913,0.686360503631913,0.686360503631913,0.686360503631913,0.686360503631913,0.665027019663927,0.665027019663927,0.665027019663927,0.665027019663927,0.756120943903502,0.756120943903502,0.756120943903502,0.795995796252752,0.795995796252752,0.795995796252752,0.636278479081288,0.636278479081288,0.636278479081288,0.636278479081288,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.799490396487346,0.915401462702823,0.915401462702823,0.915401462702823,0.90451878237293,0.90451878237293,0.90451878237293,0.838973443808406,0.838973443808406,0.838973443808406,0.89740131732806,0.89740131732806,0.89740131732806,1,1,1,1,1,1,0.769510623976772,0.838973443808406,0.838973443808406,0.838973443808406,0.737745147131493,0.737745147131493,0.737745147131493,0.737745147131493,0.94756903511693,0.94756903511693,0.94756903511693,0.94756903511693
"104",0.707703547738164,0.706758397743809,0.707703547738164,0.707703547738164,0.707703547738164,0.707703547738164,0.707703547738164,0.727403469272606,0.759753385784624,0.706758397743809,0.707703547738164,0.707703547738164,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.74699471297863,0.696109562118221,0.74699471297863,0.757866584921775,0.74699471297863,0.722677177634174,0.757866584921775,0.7935472089705,0.781661120264511,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.709322603402344,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.841024723959098,0.789914083186778,0.789914083186778,0.789914083186778,0.789914083186778,0.789914083186778,0.752205493443685,0.752205493443685,0.752205493443685,0.752205493443685,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.792243841532355,0.659855616810586,0.659855616810586,0.659855616810586,0.659855616810586,0.659855616810586,0.686360503631913,0.686360503631913,0.686360503631913,0.686360503631913,0.686360503631913,0.665027019663927,0.665027019663927,0.665027019663927,0.665027019663927,0.756120943903502,0.756120943903502,0.756120943903502,0.795995796252752,0.795995796252752,0.795995796252752,0.636278479081288,0.636278479081288,0.636278479081288,0.636278479081288,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.79767250490263,0.799490396487346,0.915401462702823,0.915401462702823,0.915401462702823,0.90451878237293,0.90451878237293,0.90451878237293,0.838973443808406,0.838973443808406,0.838973443808406,0.89740131732806,0.89740131732806,0.89740131732806,1,1,1,1,1,1,0.769510623976772,0.838973443808406,0.838973443808406,0.838973443808406,0.737745147131493,0.737745147131493,0.737745147131493,0.737745147131493,0.94756903511693,0.94756903511693,0.94756903511693,0.94756903511693
